wavelength,ULTRABLUE,BLUE,GREEN,RED,NIR,CIRRUS,SWIR1,SWIR2
0.524,0.00E+00,0.0001,0.00856,0,0,0,0,0
0.525,0.00E+00,0.00003,0.01305,0,0,0,0,0
0.526,0.00E+00,0,0.02042,0,0,0,0,0
0.527,0.00E+00,0,0.0327,0,0,0,0,0
0.528,0.00E+00,0,0.05455,0,0,0,0,0
0.529,0.00E+00,0,0.09436,0,0,0,0,0
0.53,0.00E+00,0,0.16315,0,0,0,0,0
0.531,0.00E+00,0,0.27567,0,0,0,0,0
0.532,0.00E+00,0,0.4403,0,0,0,0,0
0.533,0.00E+00,0,0.63377,0,0,0,0,0
0.534,0.00E+00,0,0.797,0,0,0,0,0
0.535,0.00E+00,0,0.8932,0,0,0,0,0
0.536,0.00E+00,0,0.93965,0,0,0,0,0
0.537,0.00E+00,0,0.95441,0,0,0,0,0
0.538,0.00E+00,0,0.95645,0,0,0,0,0
0.539,0.00E+00,0,0.96016,0,0,0,0,0
0.54,0.00E+00,0,0.96293,0,0,0,0,0
0.541,0.00E+00,0,0.96715,0,0,0,0,0
0.542,0.00E+00,0,0.96205,0,0,0,0,0
0.543,0.00E+00,0,0.9565,0,0,0,0,0
0.544,0.00E+00,0,0.96899,0,0,0,0,0
0.545,0.00E+00,0,0.97794,0,0,0,0,0
0.546,0.00E+00,0,0.9773,0,0,0,0,0
0.547,0.00E+00,0,0.97875,0,0,0,0,0
0.548,0.00E+00,0,0.98534,0,0,0,0,0
0.549,0.00E+00,0,0.99493,0,0,0,0,0
0.55,0.00E+00,0,0.99652,0,0,0,0,0
0.551,0.00E+00,0,0.98794,0,0,0,0,0
0.552,0.00E+00,0,0.98318,0,0,0,0,0
0.553,0.00E+00,0,0.9811,0,0,0,0,0
0.554,0.00E+00,0,0.97206,0,0,0,0,0
0.555,0.00E+00,0,0.96159,0,0,0,0,0
0.556,0.00E+00,0,0.95235,0,0,0,0,0
0.557,0.00E+00,0,0.94697,0,0,0,0,0
0.558,0.00E+00,0,0.9529,0,0,0,0,0
0.559,0.00E+00,0,0.9624,0,0,0,0,0
0.56,0.00E+00,0,0.97153,0,0,0,0,0
0.561,0.00E+00,0,0.97262,0,0,0,0,0
0.562,0.00E+00,0,0.96055,0,0,0,0,0
0.563,0.00E+00,0,0.95561,0,0,0,0,0
0.564,0.00E+00,0,0.96359,0,0,0,0,0
0.565,0.00E+00,0,0.9739,0,0,0,0,0
0.566,0.00E+00,0,0.98076,0,0,0,0,0
0.567,0.00E+00,0,0.9823,0,0,0,0,0
0.568,0.00E+00,0,0.97807,0,0,0,0,0
0.569,0.00E+00,0,0.97124,0,0,0,0,0
0.57,0.00E+00,0,0.97271,0,0,0,0,0
0.571,0.00E+00,0,0.97886,0,0,0,0,0
0.572,0.00E+00,0,0.97714,0,0,0,0,0
