wavelength,BLUE,GREEN,RED,NIR,SWIR1,SWIR2
0.41,0,0,0,0,0,0
0.411,2.20E-04,0,0,0,0,0
0.412,5.40E-04,0,0,0,0,0
0.413,6.00E-04,0,0,0,0,0
0.414,6.40E-04,0,0,0,0,0
0.415,7.00E-04,0,0,0,0,0
0.416,7.50E-04,0,0,0,0,0
0.417,8.00E-04,0,0,0,0,0
0.418,8.40E-04,0,0,0,0,0
0.419,9.00E-04,0,0,0,0,0
0.42,9.50E-04,0,0,0,0,0
0.421,1.00E-03,0,0,0,0,0
0.422,1.05E-03,0,0,0,0,0
0.423,1.15E-03,0,0,0,0,0
0.424,1.20E-03,0,0,0,0,0
0.425,1.38E-03,0,0,0,0,0
0.426,1.78E-03,0,0,0,0,0
0.427,2.18E-03,0,0,0,0,0
0.428,2.58E-03,0,0,0,0,0
0.429,2.98E-03,0,0,0,0,0
0.43,4.06E-03,0,0,0,0,0
0.431,6.05E-03,0,0,0,0,0
0.432,8.60E-03,0,0,0,0,0
0.433,1.17E-02,0,0,0,0,0
0.434,1.48E-02,0,0,0,0,0
0.435,1.81E-02,0,0,0,0,0
0.436,2.23E-02,0,0,0,0,0
0.437,2.78E-02,0,0,0,0,0
0.438,3.36E-02,0,0,0,0,0
0.439,3.91E-02,0,0,0,0,0
0.44,4.46E-02,0,0,0,0,0
0.441,5.01E-02,0,0,0,0,0
0.442,5.57E-02,0,0,0,0,0
0.443,6.14E-02,0,0,0,0,0
0.444,6.72E-02,0,0,0,0,0
0.445,7.59E-02,0,0,0,0,0
0.446,1.00E-01,0,0,0,0,0
0.447,1.44E-01,0,0,0,0,0
0.448,2.18E-01,0,0,0,0,0
0.449,3.17E-01,0,0,0,0,0
0.45,4.04E-01,0,0,0,0,0
0.451,4.75E-01,0,0,0,0,0
0.452,5.43E-01,0,0,0,0,0
0.453,6.00E-01,0,0,0,0,0
0.454,6.65E-01,0,0,0,0,0
0.455,7.21E-01,0,0,0,0,0
0.456,7.36E-01,0,0,0,0,0
0.457,7.46E-01,0,0,0,0,0
0.458,7.53E-01,0,0,0,0,0
0.459,7.56E-01,0,0,0,0,0
0.46,7.61E-01,0,0,0,0,0
0.461,7.71E-01,0,0,0,0,0
0.462,7.81E-01,0,0,0,0,0
0.463,7.92E-01,0,0,0,0,0
0.464,8.01E-01,0,0,0,0,0
0.465,8.09E-01,0,0,0,0,0
0.466,8.14E-01,0,0,0,0,0
0.467,8.19E-01,0,0,0,0,0
0.468,8.24E-01,0,0,0,0,0
0.469,8.28E-01,0,0,0,0,0
0.47,8.30E-01,0,0,0,0,0
0.471,8.32E-01,0,0,0,0,0
0.472,8.34E-01,0,0,0,0,0
0.473,8.37E-01,0,0,0,0,0
0.474,8.42E-01,0,0,0,0,0
0.475,8.49E-01,0,0,0,0,0
0.476,8.57E-01,0,0,0,0,0
0.477,8.64E-01,0,0,0,0,0
0.478,8.72E-01,0,0,0,0,0
0.479,8.79E-01,0,0,0,0,0
0.48,8.85E-01,0,0,0,0,0
0.481,8.87E-01,0,0,0,0,0
0.482,8.90E-01,0,0,0,0,0
0.483,8.92E-01,0,0,0,0,0
0.484,8.95E-01,0,0,0,0,0
0.485,8.97E-01,0,0,0,0,0
0.486,8.99E-01,0,0,0,0,0
0.487,9.02E-01,0,0,0,0,0
0.488,9.04E-01,0,0,0,0,0
0.489,9.06E-01,0,0,0,0,0
0.49,9.12E-01,0,0,0,0,0
0.491,9.22E-01,0,0,0,0,0
0.492,9.33E-01,0,0,0,0,0
0.493,9.43E-01,0,0,0,0,0
0.494,9.50E-01,0,0,0,0,0
0.495,9.54E-01,0,0,0,0,0
0.496,9.58E-01,0,0,0,0,0
0.497,9.63E-01,0,0,0,0,0
0.498,9.67E-01,0,0,0,0,0
0.499,9.74E-01,0,0,0,0,0
0.5,9.82E-01,0.00027,0,0,0,0
0.501,9.90E-01,0.00118,0,0,0,0
0.502,9.97E-01,0.00249,0,0,0,0
0.503,9.99E-01,0.00468,0,0,0,0
0.504,9.95E-01,0.00758,0,0,0,0
0.505,9.78E-01,0.01003,0,0,0,0
0.506,9.51E-01,0.01252,0,0,0,0
0.507,9.24E-01,0.01503,0,0,0,0
0.508,8.96E-01,0.01757,0,0,0,0
0.509,8.68E-01,0.02012,0,0,0,0
0.51,8.40E-01,0.02267,0,0,0,0
0.511,8.18E-01,0.02531,0,0,0,0
0.512,8.04E-01,0.02802,0,0,0,0
0.513,7.88E-01,0.03071,0,0,0,0
0.514,7.69E-01,0.03341,0,0,0,0
0.515,7.34E-01,0.04187,0,0,0,0
0.516,6.57E-01,0.05751,0,0,0,0
0.517,5.51E-01,0.07745,0,0,0,0
0.518,4.59E-01,0.10438,0,0,0,0
0.519,3.75E-01,0.13467,0,0,0,0
0.52,2.91E-01,0.16964,0,0,0,0
0.521,1.96E-01,0.20906,0,0,0,0
0.522,1.23E-01,0.24899,0,0,0,0
0.523,1.01E-01,0.28937,0,0,0,0
0.524,8.95E-02,0.33024,0,0,0,0
0.525,7.84E-02,0.37036,0,0,0,0
0.526,6.73E-02,0.40889,0,0,0,0
0.527,5.86E-02,0.44727,0,0,0,0
0.528,5.39E-02,0.48605,0,0,0,0
0.529,5.04E-02,0.52087,0,0,0,0
0.53,4.69E-02,0.54773,0,0,0,0
0.531,4.34E-02,0.56807,0,0,0,0
0.532,3.99E-02,0.58336,0,0,0,0
0.533,3.64E-02,0.59707,0,0,0,0
0.534,3.28E-02,0.61009,0,0,0,0
0.535,2.93E-02,0.62391,0,0,0,0
0.536,2.57E-02,0.63895,0,0,0,0
0.537,2.27E-02,0.65313,0,0,0,0
0.538,2.05E-02,0.66748,0,0,0,0
0.539,1.82E-02,0.68192,0,0,0,0
0.54,1.60E-02,0.69458,0,0,0,0
0.541,1.37E-02,0.70498,0,0,0,0
0.542,1.18E-02,0.71547,0,0,0,0
0.543,1.05E-02,0.72607,0,0,0,0
0.544,9.26E-03,0.73671,0,0,0,0
0.545,8.02E-03,0.74742,0,0,0,0
0.546,6.76E-03,0.75821,0,0,0,0
0.547,6.01E-03,0.7691,0,0,0,0
0.548,5.81E-03,0.78005,0,0,0,0
0.549,5.61E-03,0.79105,0,0,0,0
0.55,3.03E-03,0.7998,0,0,0,0
0.551,0,0.8058,0,0,0,0
0.552,0,0.81185,0,0,0,0
0.553,0,0.81763,0,0,0,0
0.554,0,0.82308,0,0,0,0
0.555,0,0.82857,0,0,0,0
0.556,0,0.83408,0,0,0,0
0.557,0,0.83962,0,0,0,0
0.558,0,0.84517,0,0,0,0
0.559,0,0.85072,0,0,0,0
0.56,0,0.85628,0,0,0,0
0.561,0,0.86187,0,0,0,0
0.562,0,0.86752,0,0,0,0
0.563,0,0.87173,0,0,0,0
0.564,0,0.87364,0,0,0,0
0.565,0,0.87479,0,0,0,0
0.566,0,0.87594,0,0,0,0
0.567,0,0.8771,0,0,0,0
0.568,0,0.87819,0,0,0,0
0.569,0,0.8793,0,0,0,0
0.57,0,0.88035,0,0,0,0
0.571,0,0.88139,0,0,0,0
0.572,0,0.88245,0,0,0,0
0.573,0,0.88345,0,0,0,0
0.574,0,0.88445,0,0,0,0
0.575,0,0.88545,0,0,0,0
0.576,0,0.8864,0,0,0,0
0.577,0,0.88893,0,0,0,0
0.578,0,0.89338,0,0,0,0
0.579,0,0.89778,0,0,0,0
0.58,0,0.90221,0.0021,0,0,0
0.581,0,0.90674,0.0021,0,0,0
0.582,0,0.91118,0.00215,0,0,0
