wavelength,BLUE,GREEN,RED,NIR,SWIR1,SWIR2
0.547,0,0.95145,0,0,0,0
0.548,0,0.952,0,0,0,0
0.549,0,0.95245,0,0,0,0
0.55,0,0.9521,0,0,0,0
0.551,0,0.95055,0,0,0,0
0.552,0,0.95,0,0,0,0
0.553,0,0.95045,0,0,0,0
0.554,0,0.95235,0,0,0,0
0.555,0,0.9567,0,0,0,0
0.556,0,0.9627,0,0,0,0
0.557,0,0.9669,0,0,0,0
0.558,0,0.96665,0,0,0,0
0.559,0,0.9623,0,0,0,0
0.56,0,0.9554,0,0,0,0
0.561,0,0.94785,0,0,0,0
0.562,0,0.94085,0,0,0,0
0.563,0,0.93475,0,0,0,0
0.564,0,0.93245,0,0,0,0
0.565,0,0.9339,0,0,0,0
0.566,0,0.9359,0,0,0,0
0.567,0,0.93835,0,0,0,0
0.568,0,0.94225,0,0,0,0
0.569,0,0.9477,0,0,0,0
0.57,0,0.9528,0,0,0,0
0.571,0,0.9559,0,0,0,0
0.572,0,0.95655,0,0,0,0
0.573,0,0.95645,0,0,0,0
0.574,0,0.9561,0,0,0,0
0.575,0,0.95365,0,0,0,0
0.576,0,0.9529,0,0,0,0
0.577,0,0.9558,0,0,0,0
0.578,0,0.96025,0,0,0,0
0.579,0,0.9675,0,0,0,0
0.58,0,0.9766,0,0,0,0
0.581,0,0.98415,0,0,0,0
0.582,0,0.99115,0,0,0,0
0.583,0,0.99725,0,0,0,0
0.584,0,1,0,0,0,0
0.585,0,0.9973,0,0,0,0
0.586,0,0.98905,0,0,0,0
0.587,0,0.9767,0,0,0,0
0.588,0,0.96225,0,0,0,0
0.589,0,0.9486,0,0,0,0
0.59,0,0.9393,0,0,0,0
0.591,0,0.9342,0,0,0,0
0.592,0,0.9302,0,0,0,0
0.593,0,0.9262,0,0,0,0
0.594,0,0.9186,0,0,0,0
0.595,0,0.89895,0,0,0,0
0.596,0,0.86095,0,0,0,0
0.597,0,0.80205,0,0,0,0
0.598,0,0.72295,0,0,0,0
0.599,0,0.629,0,0,0,0
0.6,0,0.52855,0,0,0,0
0.601,0,0.43115,0,0,0,0
0.602,0,0.344,0,0,0,0
0.603,0,0.27075,0,0,0,0
0.604,0,0.2125,0,0,0,0
0.605,0,0.16745,0,0,0,0
0.606,0,0.13295,0,0,0,0
0.607,0,0.10665,0,0,0,0
0.608,0,0.08635,0,0,0,0
0.609,0,0.07025,0,0,0,0
0.61,0,0.0575,0,0,0,0
0.611,0,0.0475,0,0,0,0
0.612,0,0.03795,0,0,0,0
0.613,0,0.02985,0.00022,0,0,0
0.614,0,0.02375,0.00032,0,0,0
0.615,0,0.01866,0.00005,0,0,0
0.616,0,0.01425,0.00022,0,0,0
0.617,0,0.01105,0.00054,0,0,0
0.618,0,0.0084,0.00096,0,0,0
0.619,0,0.0061,0.00167,0,0,0
0.62,0,0.0043,0.00245,0,0,0
0.621,0,0.00321,0.00435,0,0,0
0.622,0,0.0022,0.00915,0,0,0
0.623,0,0.00157,0.0184,0,0,0
0.624,0,0.00077,0.0349,0,0,0
0.625,0,0,0.0632,0,0,0
0.626,0,0,0.1073,0,0,0
0.627,0,0,0.1703,0,0,0
0.628,0,0,0.25375,0,0,0
0.629,0,0,0.35685,0,0,0
0.63,0,0,0.4757,0,0,0
0.631,0,0,0.60305,0,0,0
0.632,0,0,0.7253,0,0,0
0.633,0,0,0.82625,0,0,0
0.634,0,0,0.8946,0,0,0
0.635,0,0,0.93,0,0,0
0.636,0,0,0.9419,0,0,0
0.637,0,0,0.94255,0,0,0
0.638,0,0,0.94065,0,0,0
0.639,0,0,0.9381,0,0,0
0.64,0,0,0.9361,0,0,0
0.641,0,0,0.935,0,0,0
0.642,0,0,0.93635,0,0,0
0.643,0,0,0.94025,0,0,0
0.644,0,0,0.9457,0,0,0
0.645,0,0,0.9508,0,0,0
0.646,0,0,0.9566,0,0,0
0.647,0,0,0.96415,0,0,0
0.648,0,0,0.96935,0,0,0
0.649,0,0,0.9719,0,0,0
0.65,0,0,0.97345,0,0,0
0.651,0,0,0.9731,0,0,0
0.652,0,0,0.97065,0,0,0
0.653,0,0,0.9663,0,0,0
0.654,0,0,0.96075,0,0,0
0.655,0,0,0.9571,0,0,0
0.656,0,0,0.95555,0,0,0
0.657,0,0,0.955,0,0,0
0.658,0,0,0.95545,0,0,0
0.659,0,0,0.9587,0,0,0
0.66,0,0,0.96515,0,0,0
0.661,0,0,0.9726,0,0,0
0.662,0,0,0.9797,0,0,0
0.663,0,0,0.98525,0,0,0
0.664,0,0,0.99025,0,0,0
0.665,0,0,0.99435,0,0,0
0.666,0,0,0.99645,0,0,0
0.667,0,0,0.9979,0,0,0
0.668,0,0,0.99945,0,0,0
0.669,0,0,1,0,0,0
0.67,0,0,0.9991,0,0,0
0.671,0,0,0.9971,0,0,0
0.672,0,0,0.99555,0,0,0
0.673,0,0,0.9941,0,0,0
0.674,0,0,0.99255,0,0,0
0.675,0,0,0.99155,0,0,0
0.676,0,0,0.9901,0,0,0
0.677,0,0,0.98855,0,0,0
0.678,0,0,0.9862,0,0,0
0.679,0,0,0.98085,0,0,0
0.68,0,0,0.97385,0,0,0
0.681,0,0,0.9655,0,0,0
0.682,0,0,0.95505,0,0,0
0.683,0,0,0.94495,0,0,0
0.684,0,0,0.9364,0,0,0
0.685,0,0,0.92615,0,0,0
0.686,0,0,0.90955,0,0,0
0.687,0,0,0.88225,0,0,0
0.688,0,0,0.8387,0,0,0
0.689,0,0,0.773,0,0,0
0.69,0,0,0.6822,0,0,0
0.691,0,0,0.57145,0,0,0
0.692,0,0,0.4502,0,0,0
0.693,0,0,0.3325,0,0,0
0.694,0,0,0.23195,0,0,0
0.695,0,0,0.15465,0,0,0
0.696,0,0,0.10155,0,0,0
0.697,0,0,0.0673,0,0,0
0.698,0,0,0.04535,0,0,0
0.699,0,0,0.03105,0,0,0
0.7,0,0,0.02257,0,0,0
0.701,0,0,0.01717,0,0,0
0.702,0,0,0.01236,0,0,0
0.703,0,0,0.00893,0,0,0
0.704,0,0,0.00412,0,0,0
0.705,0,0,0,0,0,0
0.706,0,0,0,0,0,0
0.707,0,0,0,0,0,0
